               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  83,            0.025293,            0.012289,            0.032145,             0.91211,             0.91657,             0.96638,              0.8099,            0.014241,           0.0041515,            0.010798,            0.001882,            0.001882,            0.001882
                  84,            0.024585,            0.011923,            0.033392,             0.90796,             0.92247,              0.9666,             0.81187,            0.013933,           0.0041913,            0.010576,            0.001783,            0.001783,            0.001783
                  85,            0.025712,            0.011944,            0.033173,             0.91344,             0.92472,             0.96793,             0.81414,             0.01424,           0.0040741,            0.010315,            0.001684,            0.001684,            0.001684
                  86,            0.024037,            0.012087,            0.030707,             0.91051,             0.92865,             0.96599,             0.81261,             0.01476,           0.0042023,           0.0099954,            0.001585,            0.001585,            0.001585
                  87,            0.023965,            0.011514,            0.033045,             0.91531,             0.92942,             0.96839,              0.8214,            0.013157,           0.0040522,           0.0098579,            0.001486,            0.001486,            0.001486
                  88,            0.024007,            0.011706,            0.029316,             0.91101,             0.92994,             0.96972,             0.81791,            0.013933,           0.0040566,           0.0097114,            0.001387,            0.001387,            0.001387
                  89,            0.024242,            0.011341,            0.031845,             0.91828,             0.92857,              0.9706,             0.82358,            0.013322,           0.0040447,           0.0094985,            0.001288,            0.001288,            0.001288
                  90,            0.025158,            0.012084,             0.03141,              0.9203,             0.92812,             0.97096,              0.8324,            0.012439,           0.0039532,           0.0092836,            0.001189,            0.001189,            0.001189
                  91,            0.023548,            0.011921,            0.031476,             0.91662,             0.92487,             0.96952,             0.82673,            0.012743,            0.003961,           0.0092189,             0.00109,             0.00109,             0.00109
                  92,            0.024122,            0.011728,            0.029776,             0.91054,             0.92562,             0.97042,             0.82743,            0.012817,           0.0038987,           0.0091123,            0.000991,            0.000991,            0.000991
                  93,            0.022183,            0.011253,            0.029806,             0.91957,             0.93325,             0.97323,             0.83177,             0.01258,           0.0038883,           0.0087908,            0.000892,            0.000892,            0.000892
                  94,            0.021678,            0.011802,            0.029734,             0.93073,             0.93304,             0.97648,             0.83809,            0.012361,           0.0038821,            0.008463,            0.000793,            0.000793,            0.000793
                  95,            0.021648,            0.011985,            0.029923,             0.92314,             0.93528,             0.97624,             0.84334,            0.012292,           0.0038746,           0.0082997,            0.000694,            0.000694,            0.000694
                  96,            0.020327,            0.011263,            0.029467,             0.91556,             0.94988,             0.97734,             0.84589,            0.011914,           0.0038942,           0.0082121,            0.000595,            0.000595,            0.000595
                  97,            0.021261,              0.0112,            0.028356,             0.93396,             0.94319,             0.97955,             0.84911,            0.011979,           0.0038492,           0.0080025,            0.000496,            0.000496,            0.000496
                  98,            0.020674,            0.011543,            0.027683,             0.93368,             0.94098,             0.97902,             0.85331,            0.011429,            0.003826,           0.0078614,            0.000397,            0.000397,            0.000397
                  99,            0.020791,            0.011319,            0.028664,             0.93244,             0.93956,             0.97851,             0.85278,            0.011497,             0.00381,           0.0078099,            0.000298,            0.000298,            0.000298
